merchant_id,bank_account_number,bank,description,type,registered_capital,industry,operating_status,establishment_date,legal_representative_id
c000019,A010018,4175902,Small Travel & Hospitality merchant providing services to consumers.,Small,2531687.64,Travel & Hospitality,Suspended,1996/2/14,p000461
c000020,A010019,5472906,Small Retail merchant providing goods to consumers.,Small,1530238.03,Retail,Active,1986/5/30,p001761
c000021,A010020,3714628,Small Entertainment merchant providing services to consumers.,Small,3092952.42,Entertainment,Suspended,1995/11/26,p001607
c000022,A010021,4381267,Small E-commerce merchant providing goods to consumers.,Small,4387265.37,E-commerce,Under Review,1987/6/7,p001380
c000023,A010022,2367901,Small Food & Beverage merchant providing services to consumers.,Small,2913285.89,Food & Beverage,Active,1991/4/16,p000865
c000024,A010023,4381267,Small Entertainment merchant providing services to consumers.,Small,4262124.13,Entertainment,Suspended,1989/3/9,p001898
c000025,A010024,4693725,Large Utilities merchant providing services to consumers.,Large,64107580.71,Utilities,Active,2002/7/7,p000544
c000026,A010025,3581974,Large Manufacturing merchant providing goods to consumers.,Large,89568418.08,Manufacturing,Suspended,2006/10/31,p000318
c000027,A010026,2198345,Medium Retail merchant providing goods to consumers.,Medium,6253558.43,Retail,Active,2006/5/22,p001030
c000028,A010027,1265934,Small Transportation merchant providing services to consumers.,Small,3538456.49,Transportation,Active,1995/7/21,p000827
c000029,A010028,3862507,Small Financial Services merchant providing services to consumers.,Small,3043521.16,Financial Services,Suspended,1999/3/12,p001915
c000030,A010029,3186407,Medium Transportation merchant providing services to consumers.,Medium,16430614.31,Transportation,Active,2018/9/23,p001917
c000031,A010030,3581974,Medium Food & Beverage merchant providing services to consumers.,Medium,11630010.37,Food & Beverage,Suspended,2000/8/28,p001805
c000032,A010031,1739462,Medium Entertainment merchant providing services to consumers.,Medium,29596332.76,Entertainment,Suspended,2021/3/16,p001340
c000033,A010032,3581974,Large Food & Beverage merchant providing services to consumers.,Large,53801932.93,Food & Beverage,Active,2024/11/29,p000220
c000034,A010033,1265934,Small E-commerce merchant providing goods to consumers.,Small,2774340.76,E-commerce,Active,1996/4/7,p001855
c000035,A010034,4027316,Small Retail merchant providing goods to consumers.,Small,3367010.2,Retail,Active,1996/10/1,p000331
c000036,A010035,2367901,Large Food & Beverage merchant providing services to consumers.,Large,79103126.03,Food & Beverage,Active,2022/6/10,p000757
c000037,A010036,4693725,Large Retail merchant providing goods to consumers.,Large,91386001.95,Retail,Active,2014/12/2,p000211
c000038,A010037,4381267,Small Manufacturing merchant providing goods to consumers.,Small,4390725.63,Manufacturing,Active,2020/11/18,p001661
c000039,A010038,3714628,Medium Utilities merchant providing services to consumers.,Medium,11670142.74,Utilities,Active,2020/4/27,p001437
c000040,A010039,1047286,Small Telecommunications merchant providing services to consumers.,Small,1503155.96,Telecommunications,Active,2014/8/10,p000396
c000041,A010040,2367901,Medium E-commerce merchant providing goods to consumers.,Medium,21987952.96,E-commerce,Under Review,2022/11/5,p001099
c000042,A010041,3186407,Large Financial Services merchant providing services to consumers.,Large,33443147.76,Financial Services,Active,2011/10/6,p000890
c000043,A010042,1398427,Small Food & Beverage merchant providing services to consumers.,Small,1355354.49,Food & Beverage,Suspended,1986/12/29,p001452
c000044,A010043,1683509,Medium Manufacturing merchant providing goods to consumers.,Medium,14105536.79,Manufacturing,Active,1988/2/21,p001944
c000045,A010044,3295718,Large Manufacturing merchant providing goods to consumers.,Large,57835619.6,Manufacturing,Suspended,2003/4/28,p000669
c000046,A010045,1398427,Medium Utilities merchant providing services to consumers.,Medium,20387872.9,Utilities,Active,1998/7/2,p000832
c000047,A010046,5039472,Medium Financial Services merchant providing services to consumers.,Medium,16624704.76,Financial Services,Active,2004/11/1,p001384
c000048,A010047,4693725,Medium Transportation merchant providing services to consumers.,Medium,17886300.25,Transportation,Active,2013/5/24,p001269
c000049,A010048,2198345,Medium Healthcare merchant providing services to consumers.,Medium,5610634.69,Healthcare,Active,1995/12/26,p000974
c000050,A010049,2198345,Small Financial Services merchant providing services to consumers.,Small,2724697.26,Financial Services,Under Review,1995/12/12,p000303
c000051,A010050,1683509,Medium Food & Beverage merchant providing services to consumers.,Medium,9397167.04,Food & Beverage,Active,2016/3/20,p001061
c000052,A010051,3714628,Medium Transportation merchant providing services to consumers.,Medium,29697311.33,Transportation,Suspended,2011/9/17,p000650
c000053,A010052,2198345,Small Entertainment merchant providing services to consumers.,Small,2506611.25,Entertainment,Suspended,1992/2/21,p001524
c000054,A010053,2198345,Medium Education merchant providing services to consumers.,Medium,17114925.43,Education,Suspended,1995/9/25,p000563
c000055,A010054,5039472,Small Entertainment merchant providing services to consumers.,Small,1540676.66,Entertainment,Active,2016/2/17,p000313
c000056,A010055,2198345,Small Utilities merchant providing services to consumers.,Small,2252645.66,Utilities,Under Review,2019/7/14,p001197
c000057,A010056,1047286,Small Telecommunications merchant providing services to consumers.,Small,1843756.94,Telecommunications,Active,2002/6/30,p001748
c000058,A010057,4381267,Large Financial Services merchant providing services to consumers.,Large,49747947.12,Financial Services,Under Review,2004/7/20,p000995
c000059,A010058,1527806,Medium Transportation merchant providing services to consumers.,Medium,29518049.44,Transportation,Active,2008/12/17,p000056
c000060,A010059,3714628,Small Utilities merchant providing services to consumers.,Small,1317780.62,Utilities,Under Review,1996/9/2,p000777
c000060,A010060,1739462,Medium e-commerce company offering fashion products,Medium,15000000,E-commerce,Active,2018/11/28,p000654
c000061,A010061,5472906,Small retail company specializing in consumer electronics,Small,2500000,Retail,Active,2020/3/15,p000114
c000062,A010062,3581974,Medium-sized e-commerce company offering fashion products,Medium,15000000,E-commerce,Active,2018/6/25,p000025
c000063,A010063,4381267,Medium e-commerce company specializing in clothing and accessories,Medium,15000000,E-commerce,Active,2018/9/1,p000759
c000064,A010064,1683509,Small e-commerce company specializing in clothing and accessories,Small,3000000,E-commerce,Active,2018/9/20,p000281
c000065,A010065,4027316,Medium Food & Beverage company specializing in casual dining services,Medium,18500000,Food & Beverage,Active,2015/7/22,p000654
c000066,A010066,3071954,Medium Food & Beverage company specializing in casual dining services,Medium,18500000,Food & Beverage,Active,2015/7/22,p000114
c000067,A010067,2657408,Medium manufacturing company producing automotive components,Medium,32000000,Manufacturing,Active,2012/7/19,p000025
c000068,A010068,4693725,Medium food & beverage company specializing in organic cafe and bakery products,Medium,18000000,Food & Beverage,Active,2015/7/22,p000759
c000069,A010069,1739462,Medium telecommunications company providing mobile and internet services,Medium,27500000,Telecommunications,Active,2012/8/22,p000281
c000070,A010070,2198345,Small food & beverage company offering meal delivery services,Small,3500000,Food & Beverage,Active,2018/9/12,p001679
c000071,A010071,4693725,Medium e-commerce company specializing in online fashion sales,Medium,15000000,E-commerce,Active,2018/11/22,p001424
c000072,A010072,4175902,Small e-commerce company specializing in fashion products,Small,2500000,E-commerce,Active,2018/9/20,p009674
c000073,A010073,2046713,Small retail company specializing in clothing and accessories,Small,2500000,Retail,Active,2018/2/20,p002286
c000074,A010074,3186407,Small e-commerce company specializing in clothing,Small,3000000,E-commerce,Active,2018/6/20,p004012
c000075,A010075,1739462,Medium food & beverage company providing restaurant services,Medium,15000000,Food & Beverage,Active,2018/9/1,p003657
c000076,A010076,4693725,Medium food and beverage company providing catering services,Medium,30000000,Food & Beverage,Active,2015/9/22,p008935
c000077,A010077,3295718,Small retail company specializing in clothing and accessories,Small,2000000,Retail,Active,2018/9/1,p000409
c000078,A010078,5039472,Small retail company specializing in clothing,Small,3500000,Retail,Active,2018/9/20,p001824
c000079,A010079,1265934,Medium food and beverage company providing catering services,Medium,25000000,Food & Beverage,Active,2018/11/20,p004506
c000080,A010080,2486137,Medium entertainment company providing online gaming services,Medium,25000000,Entertainment,Active,2018/1/20,p006912
c000081,A010081,1398427,Medium entertainment company offering event ticketing services,Medium,15000000,Entertainment,Active,2018/9/28,p000520
c000082,A010082,1683509,Medium e-commerce company specializing in fashion products,Medium,20000000,E-commerce,Active,2018/9/1,p003811
c000083,A010083,3714628,Small e-commerce company specializing in fashion products,Small,2500000,E-commerce,Active,2018/9/22,p001535
c000084,A010084,5472906,Medium food and beverage company specializing in meal delivery,Medium,20000000,Food & Beverage,Active,2018/9/12,p009863
c000085,A010085,4871609,Medium retail company specializing in clothing and accessories,Medium,15000000,Retail,Active,2018/9/1,p000488
c000086,A010086,1683509,Medium e-commerce company specializing in apparel and accessories,Medium,25000000,E-commerce,Active,2018/9/12,p008279
c000087,A010087,4871609,Medium e-commerce company specializing in clothing and footwear,Medium,15000000,E-commerce,Active,2018/9/1,p000434
c000088,A010088,3186407,Medium e-commerce company specializing in fashion products and services,Medium,30000000,E-commerce,Active,2018/9/1,p009195
c000089,A010089,4528071,Medium e-commerce company specializing in fashion products,Medium,20000000,E-commerce,Active,2018/6/1,p003582
c000090,A010090,2947806,Medium e-commerce company specializing in online fashion products,Medium,25000000,E-commerce,Active,2018/6/20,p003611
c000091,A010091,4528071,Medium e-commerce company specializing in food and beverage delivery,Medium,30000000,E-commerce,Active,2018/9/12,p009654
c000092,A010092,2793615,Medium E-commerce company specializing in online fashion products,Medium,25000000,E-commerce,Active,2018/6/1,p006873
c000093,A010093,2046713,Medium e-commerce company specializing in clothing and accessories,Medium,20000000,E-commerce,Active,2018/6/1,p004557
c000094,A010094,4027316,Medium food and beverage company offering meal delivery services,Medium,25000000,Food & Beverage,Active,2018/9/20,p002615
c000095,A010095,3071954,Small retail company specializing in clothing and accessories,Small,3500000,Retail,Active,2018/9/1,p003257
c000096,A010096,4381267,Medium e-commerce company specializing in online grocery shopping,Medium,15000000,E-commerce,Active,2018/9/1,p007359
c000097,A010097,3862507,Medium e-commerce company specializing in clothing and footwear,Medium,25000000,E-commerce,Active,2018/9/22,p000106
c000098,A010098,1739462,Medium entertainment company specializing in ticket sales and event management,Medium,15000000,Entertainment,Active,2018/9/22,p006924
c000099,A010099,1872056,Medium e-commerce company specializing in fashion products,Medium,15000000,E-commerce,Active,2018/10/25,p008928
c000100,A010100,3581974,Medium E-commerce company specializing in online clothing sales,Medium,20000000,E-commerce,Active,2018/9/20,p002547
c000101,A010101,4381267,Medium E-commerce company offering clothing products,Medium,25000000,E-commerce,Active,2018/6/22,p005574
c000102,A010102,4871609,Medium food and beverage company offering delivery and takeout services,Medium,15000000,Food & Beverage,Active,2018/9/22,p005881
c000103,A010103,2657408,Medium e-commerce company specializing in clothing and accessories,Medium,25000000,E-commerce,Active,2018/1/1,p001519
c000104,A010104,1265934,Medium food and beverage company specializing in prepared meals,Medium,15000000,Food & Beverage,Active,2018/9/1,p005514
c000105,A010105,3862507,Medium e-commerce company specializing in fashion goods and online services,Medium,15000000,E-commerce,Active,2018/9/22,p001584
c000106,A010106,2198345,Medium food & beverage company offering catering services,Medium,15000000,Food & Beverage,Active,2018/9/20,p001674
c000107,A010107,4528071,Medium e-commerce company specializing in fashion goods,Medium,15000000,E-commerce,Active,2018/9/20,p004552
c000108,A010108,4871609,Medium food and beverage company specializing in restaurant services,Medium,25000000,Food & Beverage,Active,2018/9/22,p006224
c000109,A010109,1527806,Medium e-commerce company specializing in fashion products,Medium,25000000,E-commerce,Active,2018/6/12,p003527
c000110,A010110,1265934,Medium food and beverage company specializing in online ordering and delivery services,Medium,15000000,Food & Beverage,Active,2018/9/1,p009044
c000111,A010111,1739462,Medium e-commerce company specializing in clothing and accessories,Medium,30000000,E-commerce,Active,2018/9/20,p009891
c000112,A010112,3071954,Medium food and beverage company offering catering services,Medium,20000000,Food & Beverage,Active,2015/9/20,p000711
c000113,A010113,2793615,Medium food & beverage company specializing in online ordering and delivery services,Medium,15000000,Food & Beverage,Active,2018/9/22,p001291
c000114,A010114,3186407,Medium food and beverage company specializing in catering services,Medium,15000000,Food & Beverage,Active,2018/9/1,p006201
c000115,A010115,2367901,Medium food and beverage company offering prepared meals delivery,Medium,20000000,Food & Beverage,Active,2018/9/20,p002045
c000116,A010116,3186407,Medium e-commerce company specializing in fashion products,Medium,25000000,E-commerce,Active,2018/11/1,p005635
c000117,A010117,4381267,Medium e-commerce company specializing in clothing and accessories,Medium,15000000,E-commerce,Active,2018/9/1,p007527
c000118,A010118,4528071,Medium e-commerce company specializing in clothing and accessories,Medium,20000000,E-commerce,Active,2018/9/12,p004333
c000119,A010119,5472906,Medium e-commerce company specializing in fashion products,Medium,10000000,E-commerce,Active,2018/9/1,p008785
c000120,A010120,3468205,Medium food and beverage company offering meal delivery services,Medium,15000000,Food & Beverage,Active,2018/9/20,p004741
c000121,A010121,2046713,Medium e-commerce company offering online clothing sales,Medium,15000000,E-commerce,Active,2018/9/22,p004803
c000122,A010122,2793615,Medium food and beverage company providing catering services,Medium,10000000,Food & Beverage,Active,2018/9/1,p003150
c000123,A010123,4027316,Medium e-commerce company specializing in apparel and footwear,Medium,25000000,E-commerce,Active,2018/9/1,p001139
c000124,A010124,4175902,Medium e-commerce company specializing in fashion products,Medium,20000000,E-commerce,Active,2018/9/1,p005925
c000125,A010125,2793615,Medium food & beverage company offering meal delivery services,Medium,20000000,Food & Beverage,Active,2018/9/1,p003814
c000126,A010126,3186407,Medium food & beverage company providing meal delivery services,Medium,30000000,Food & Beverage,Active,2018/9/22,p003733
c000127,A010127,2198345,Medium entertainment company offering event management services,Medium,75000000,Entertainment,Active,2018/11/22,p009459
c000128,A010128,1683509,Medium Food & Beverage company providing meal delivery services,Medium,15000000,Food & Beverage,Active,2018/10/25,p000750
c000129,A010129,3295718,Medium food and beverage company specializing in coffee shops,Medium,20000000,Food & Beverage,Active,2018/2/20,p001307
c000130,A010130,5039472,Medium e-commerce company specializing in online clothing sales,Medium,10000000,E-commerce,Active,2018/9/22,p005977
c000131,A010131,2947806,Medium entertainment company providing music streaming services,Medium,15000000,Entertainment,Active,2018/9/22,p004554
c000132,A010132,1047286,Medium food & beverage company providing restaurant services,Medium,25000000,Food & Beverage,Active,2018/9/20,p002664
c000133,A010133,2367901,Medium e-commerce company specializing in fashion products,Medium,30000000,E-commerce,Active,2018/9/1,p006227
c000134,A010134,5472906,Medium e-commerce company specializing in clothing and accessories,Medium,15000000,E-commerce,Active,2018/9/12,p007428
c000135,A010135,4693725,Medium e-commerce company specializing in fashion products and services,Medium,15000000,E-commerce,Active,2018/6/1,p005820
c000136,A010136,3071954,Medium food and beverage company offering delivery and takeout services,Medium,25000000,Food & Beverage,Active,2018/11/22,p004374
c000137,A010137,2793615,Small retail company specializing in clothing,Small,3000000,Retail,Active,2018/2/1,p001654
c000138,A010138,4027316,Medium e-commerce company specializing in clothing and accessories,Medium,15000000,E-commerce,Active,2018/6/1,p006065
c000139,A010139,2486137,Medium e-commerce company specializing in clothing and fashion accessories,Medium,25000000,E-commerce,Active,2018/9/20,p003432
c000140,A010140,3295718,Medium e-commerce company specializing in clothing and accessories,Medium,20000000,E-commerce,Active,2018/11/2,p009980
c000141,A010141,4027316,Medium e-commerce company specializing in clothing sales,Medium,25000000,E-commerce,Active,2018/9/22,p002803
c000142,A010142,1265934,Medium e-commerce company specializing in fashion products,Medium,20000000,E-commerce,Active,2018/10/1,p001169
c000143,A010143,1527806,Medium E-commerce company specializing in fashion products,Medium,15000000,E-commerce,Active,2018/9/12,p002677
c000144,A010144,5472906,Medium food and beverage company providing catering services,Medium,37500000,Food & Beverage,Active,2018/6/22,p008751
c000145,A010145,3468205,Medium Food & Beverage company specializing in catering services,Medium,15000000,Food & Beverage,Active,2018/9/1,p007573
c000146,A010146,3862507,Medium food & beverage company offering online meal delivery services,Medium,25000000,Food & Beverage,Active,2018/9/12,p004422
c000147,A010147,2657408,Medium food and beverage company offering online meal delivery services,Medium,15000000,Food & Beverage,Active,2018/10/20,p006216
c000148,A010148,5039472,Medium e-commerce company specializing in clothing and accessories,Medium,15000000,E-commerce,Active,2018/9/22,p004010
c000149,A010149,2947806,Medium Food & Beverage company offering delivery and takeout services,Medium,20000000,Food & Beverage,Active,2018/6/20,p009125
c000150,A010150,3714628,Medium e-commerce company specializing in online clothing sales,Medium,15000000,E-commerce,Active,2018/9/22,p003598
c000151,A010151,5472906,Medium e-commerce company specializing in fashion and beauty products,Medium,25000000,E-commerce,Active,2018/9/1,p004386
c000152,A010152,3862507,Small food & beverage company specializing in catering services,Small,1500000,Food & Beverage,Active,2018/9/1,p003456
c000153,A010153,5039472,Medium food & beverage company specializing in catering services,Medium,20000000,Food & Beverage,Active,2018/9/20,p006572
c000154,A010154,2198345,Medium e-commerce company specializing in fashion and accessories,Medium,25000000,E-commerce,Active,2018/9/22,p000916
c000155,A010155,2486137,Medium food & beverage company offering catering services,Medium,15000000,Food & Beverage,Active,2018/9/12,p000525
c000156,A010156,2198345,Medium e-commerce company specializing in fashion products,Medium,15000000,E-commerce,Active,2018/9/1,p005313
c000157,A010157,2198345,Medium food and beverage company offering catering services,Medium,15000000,Food & Beverage,Active,2018/9/12,p005168
c000158,A010158,4693725,Medium e-commerce company specializing in online fashion sales,Medium,15000000,E-commerce,Active,2018/9/12,p003752
c000159,A010159,1527806,Medium Food & Beverage company offering catering services,Medium,15000000,Food & Beverage,Active,2018/6/20,p001084
c000160,A010160,2198345,Medium e-commerce company specializing in fashion products,Medium,25000000,E-commerce,Active,2018/6/20,p005155
c000161,A010161,3862507,Medium e-commerce company specializing in food delivery services,Medium,25000000,E-commerce,Active,2018/9/12,p004339
c000162,A010162,3581974,Medium Food & Beverage company specializing in meal delivery services,Medium,25000000,Food & Beverage,Active,2018/11/22,p004040
c000163,A010163,2793615,Medium e-commerce company specializing in fashion products,Medium,20000000,E-commerce,Active,2018/9/12,p003483
c000164,A010164,3071954,Medium e-commerce company offering fashion apparel,Medium,10000000,E-commerce,Active,2018/9/22,p009292
c000165,A010165,4528071,Medium e-commerce company specializing in clothing and accessories,Medium,20000000,E-commerce,Active,2018/9/1,p002340
c000166,A010166,4027316,Medium e-commerce company specializing in fashion products,Medium,20000000,E-commerce,Active,2018/9/1,p008179
c000167,A010167,4381267,Medium E-commerce company specializing in clothing and accessories,Medium,25000000,E-commerce,Active,2018/9/22,p007517
c000168,A010168,2046713,Medium food and beverage company specializing in restaurants and cafes,Medium,15000000,Food & Beverage,Active,2018/9/12,p002287
c000169,A010169,4381267,Medium e-commerce company specializing in fashion products,Medium,30000000,E-commerce,Active,2018/2/1,p006482
c000170,A010170,4027316,Medium e-commerce company specializing in clothing and fashion accessories,Medium,15000000,E-commerce,Active,2018/9/22,p009560
c000171,A010171,3581974,Medium e-commerce company specializing in clothing and accessories,Medium,25000000,E-commerce,Active,2018/11/22,p005930
c000172,A010172,4528071,Medium e-commerce company specializing in online fashion sales,Medium,25000000,E-commerce,Active,2018/9/20,p006543
c000173,A010173,1872056,Medium e-commerce company specializing in clothing and accessories,Medium,25000000,E-commerce,Active,2018/9/1,p009577
c000174,A010174,3295718,Small retail company specializing in household appliances,Small,3500000,Retail,Active,2018/9/12,p009197
c000175,A010175,2486137,Medium e-commerce company offering a wide range of products,Medium,25000000,E-commerce,Active,2018/9/22,p002266
c000176,A010176,4027316,Medium entertainment company specializing in movie ticket sales,Medium,17500000,Entertainment,Active,2018/10/28,p007019
c000177,A010177,4175902,Medium retail company specializing in clothing and footwear,Medium,15000000,Retail,Active,2018/6/22,p004304
c000178,A010178,1739462,Medium e-commerce company specializing in apparel and accessories,Medium,15000000,E-commerce,Active,2018/9/1,p003593
c000179,A010179,2486137,Medium retail company specializing in general merchandise,Medium,25000000,Retail,Active,2018/11/20,p008830
c000180,A010180,3468205,Medium food & beverage company offering restaurant services,Medium,25000000,Food & Beverage,Active,2018/7/22,p001796
c000181,A010181,1047286,Medium entertainment company offering online streaming services,Medium,25000000,Entertainment,Active,2018/2/20,p001489
c000182,A010182,4027316,Medium food and beverage company providing delivery services,Medium,20000000,Food & Beverage,Active,2018/9/22,p009771
c000183,A010183,1047286,Medium e-commerce company specializing in fashion products,Medium,17500000,E-commerce,Active,2018/9/22,p008085
c000184,A010184,4871609,Medium e-commerce company specializing in clothing and accessories,Medium,20000000,E-commerce,Active,2018/1/1,p002621
c000185,A010185,1398427,Medium food and beverage company providing catering services,Medium,15000000,Food & Beverage,Active,2018/10/20,p002504
c000186,A010186,1047286,Medium e-commerce company offering fashion products,Medium,15000000,E-commerce,Active,2018/2/1,p008348
c000187,A010187,2947806,Medium food and beverage company specializing in online meal delivery services,Medium,25000000,Food & Beverage,Active,2018/9/1,p001040
c000188,A010188,1527806,Medium food and beverage company specializing in restaurant services,Medium,25000000,Food & Beverage,Active,2018/9/22,p006916
c000189,A010189,3295718,Medium e-commerce company specializing in fashion products,Medium,20000000,E-commerce,Active,2018/9/12,p000771
c000190,A010190,1527806,Small retail company specializing in clothing and accessories,Small,2500000,Retail,Active,2018/2/1,p006304
c000191,A010191,4027316,Medium food and beverage company providing meal delivery services,Medium,15000000,Food & Beverage,Active,2018/9/20,p008797
c000192,A010192,3071954,Medium e-commerce company specializing in clothing and accessories,Medium,20000000,E-commerce,Active,2018/1/1,p004119
c000193,A010193,2657408,Small e-commerce company specializing in fashion products,Small,2500000,E-commerce,Active,2018/9/1,p009763
c000194,A010194,2046713,Medium food & beverage company providing catering services,Medium,15000000,Food & Beverage,Active,2015/9/1,p009064
c000195,A010195,4381267,Medium e-commerce company specializing in fashion products,Medium,20000000,E-commerce,Active,2018/9/1,p008669
c000196,A010196,2367901,Medium e-commerce company specializing in fashion products,Medium,17500000,E-commerce,Active,2018/9/22,p007668
c000197,A010197,2198345,Medium food and beverage company offering catering services,Medium,20000000,Food & Beverage,Active,2018/9/20,p001876
c000198,A010198,1872056,Medium e-commerce company specializing in online fashion retail,Medium,15000000,E-commerce,Active,2018/9/1,p000188
c000199,A010199,1265934,Medium e-commerce company specializing in fashion products,Medium,30000000,E-commerce,Active,2018/10/28,p006252
c000200,A010300,1265934,Medium chain restaurant offering casual dining and family meals,Medium,18000000,Food & Beverage,Active,2016/11/8,p001403
c000201,A010301,1265934,Medium Food & Beverage company operating a casual dining restaurant,Medium,18000000,Food & Beverage,Active,2015/8/22,p003409
c000202,A010402,4528071,Medium restaurant chain specializing in Sichuan cuisine,Medium,15000000,Food & Beverage,Active,2017/11/8,p000327
c000203,A010403,3714628,Medium-sized chain restaurant in the Food & Beverage industry,Medium,15000000,Food & Beverage,Active,2017/8/11,p003830
c000204,A010504,3186407,Large manufacturing company specializing in automotive components,Large,180000000,Manufacturing,Active,2010/11/8,p007468
c000205,A010505,5472906,Medium-sized chain restaurant offering quick-service meals,Medium,20000000,Food & Beverage,Active,2018/6/10,p004785
c000206,A010606,4693725,Medium chain restaurant offering casual dining and delivery,Medium,25000000,Food & Beverage,Active,2017/11/8,p007816
c000207,A010607,2657408,Large manufacturing company producing industrial machinery components,Large,125000000,Manufacturing,Active,2010/11/8,p003198
c000208,A010708,1739462,Large wholesale business distributing consumer electronics and home appliances,Large,125000000,Manufacturing,Active,2012/7/18,p006236
c000209,A010709,4381267,Medium chain restaurant serving regional Chinese cuisine,Medium,15000000,Food & Beverage,Active,2015/8/14,p000555
c000210,A010810,4871609,Medium Food & Beverage company operating a regional chain of family-friendly sit-down restaurants,Medium,28000000,Food & Beverage,Active,2016/8/22,p001792
c000211,A010811,4871609,Medium food and beverage company operating a chain of casual dining restaurants,Medium,20000000,Food & Beverage,Active,2015/8/22,p008142
c000212,A010912,1398427,Medium chain restaurant specializing in regional Chinese cuisine,Medium,25000000,Food & Beverage,Active,2018/6/10,p003362
c000213,A010913,4381267,Medium chain restaurant offering fast casual dining,Medium,18500000,Food & Beverage,Active,2017/8/11,p005775
c000214,A011014,3295718,Medium Food & Beverage company operating a regional chain of family-style restaurants,Medium,18500000,Food & Beverage,Active,2016/11/8,p010031
c000215,A011015,4027316,Medium-sized chain of specialty coffee shops in urban locations,Medium,18000000,Food & Beverage,Active,2018/7/12,p006750
c000216,A011116,5472906,Medium chain restaurant specializing in Sichuan cuisine,Medium,12000000,Food & Beverage,Active,2017/8/22,p009825
c000217,A011117,3468205,Medium-sized chain restaurant offering regional Chinese cuisine and delivery services,Medium,18000000,Food & Beverage,Active,2017/8/11,p003319
c000218,A011218,3581974,Medium-sized chain of casual dining restaurants,Medium,18000000,Food & Beverage,Active,2016/5/23,p006036
c000219,A011219,1527806,Medium-sized Food & Beverage company operating a popular casual dining restaurant chain,Medium,18500000,Food & Beverage,Active,2017/11/3,p005944
c000220,A011320,3071954,Small family-run noodle shop and street food stall,Small,1200000,Food & Beverage,Active,2019/5/22,p010629
c000221,A011321,3468205,Small Food & Beverage company operating a family-run noodle stall,Small,1800000,Food & Beverage,Active,2015/8/22,p009566
c000222,A011422,2486137,Medium restaurant chain offering regional Chinese cuisine,Medium,18500000,Food & Beverage,Active,2017/8/14,p010736
c000223,A011423,4381267,Medium chain restaurant offering regional Chinese cuisine,Medium,20000000,Food & Beverage,Active,2017/11/8,p008875
c000224,A011524,4381267,Small Food & Beverage company operating a single noodle stall,Small,1200000,Food & Beverage,Active,2021/8/11,p004686
c000225,A011525,4871609,Medium Food & Beverage company operating a popular full-service restaurant,Medium,12500000,Food & Beverage,Active,2019/7/23,p008850
c000226,A011626,2947806,Medium restaurant chain specializing in regional Chinese cuisine,Medium,18500000,Food & Beverage,Active,2017/11/8,p002415
c000227,A011627,3295718,Medium chain restaurant offering casual dining and regional cuisine,Medium,18000000,Food & Beverage,Active,2016/7/10,p004943
c000228,A011728,4381267,Small Food & Beverage company operating a popular street food stall,Small,2000000,Food & Beverage,Active,2021/5/18,p008592
